CustomerID,revenue,invoices,cum_revenue_share,customer_rank_share
18102,580987.04,145,0.0340384173424011,0.00017088174982911826
14646,526751.52,145,0.06489932617352433,0.0003417634996582365
14156,303069.88,144,0.08265534885408432,0.0005126452494873548
14911,272252.79,373,0.09860588380690027,0.000683526999316473
17450,244784.25,51,0.1129471132779512,0.0008544087491455912
13694,195640.69,143,0.12440915803436318,0.0010252904989747095
17511,172132.87,60,0.13449394489536662,0.0011961722488038277
16446,168472.5,2,0.1443642808424777,0.001367053998632946
16684,147142.77,55,0.15298496713898604,0.0015379357484620643
12415,144033.37,24,0.16142348232392456,0.0017088174982911825
15061,126387.56999999999,127,0.16882817908712933,0.0018796992481203006
15311,114671.42,207,0.17554645915617487,0.002050580997949419
13089,113416.91,203,0.18219124096794392,0.0022214627477785374
16029,109620.87,106,0.18861362333725995,0.0023923444976076554
17949,107833.48,116,0.19493128748984323,0.002563226247436774
12931,92347.34,57,0.20034166170297646,0.002734107997265892
14298,91194.49,82,0.20568449363593563,0.00290498974709501
15769,88612.52,46,0.21087605511641525,0.0030758714969241286
12346,77352.96,3,0.21540795024294002,0.003246753246753247
13798,75428.87,110,0.21982711827933155,0.003417634996582365
15838,73205.5,34,0.22411602524145438,0.0035885167464114833
17841,68508.15,211,0.22812972751105373,0.0037593984962406013
16754,65500.07,29,0.2319671947265298,0.00393028024606972
14088,64036.8,16,0.23571893301603083,0.004101161995898838
16422,61656.42,107,0.2393312114513611,0.0042720437457279565
17389,57215.33,61,0.24268329875596467,0.004442925495557075
13081,56838.37,28,0.24601330102094085,0.004613807245386192
16013,56078.44,84,0.24929878109745135,0.004784688995215311
14680,55688.5,58,0.2525614156721784,0.004955570745044429
13093,54144.25,55,0.25573357692760207,0.005126452494873548
14096,53258.43,17,0.2588538404490415,0.005297334244702666
17850,51208.87,155,0.26185402594146273,0.005468215994531784
13408,50174.78,106,0.26479362697232767,0.005639097744360902
13777,49638.26,61,0.2677017947862441,0.00580997949419002
12748,49173.79,322,0.27058275059263803,0.005980861244019139
17404,47638.12,21,0.273373735758103,0.006151742993848257
13881,45179.1,43,0.27602065377017093,0.0063226247436773755
15749,44534.3,3,0.27862979474077104,0.006493506493506494
16705,43515.05,42,0.2811792206842059,0.0066643882433356115
15098,39916.5,3,0.2835178175758818,0.00683526999316473
15039,39141.48,93,0.28581100819789507,0.007006151742993848
14031,39019.51,44,0.2880970529363044,0.007177033492822967
17675,37642.48,70,0.29030242131086054,0.007347915242652085
17381,36398.65,38,0.29243491713968317,0.007518796992481203
12921,35233.24,74,0.2944991348328093,0.007689678742310321
12471,35099.9,71,0.2965555405056046,0.00786056049213944
17677,35058.46,54,0.2986095183238738,0.008031442241968558
13902,34023.26,5,0.300602846648769,0.008202323991797676
13767,33903.57,73,0.30258916266892893,0.008373205741626795
16210,33730.97,33,0.3045653665343784,0.008544087491455913
16779,32809.03,53,0.30648755649534437,0.008714969241285031
12678,32595.18,15,0.30839721757864613,0.00888585099111415
15856,32274.69,52,0.31028810204281015,0.009056732740943266
14258,32051.34,25,0.3121659010506902,0.009227614490772385
17428,31466.760000000002,45,0.3140094511396787,0.009398496240601503
14606,29648.75,184,0.31574648907116254,0.009569377990430622
12709,29487.18,32,0.31747406106500686,0.00974025974025974
13078,29018.06,57,0.319174148620741,0.009911141490088858
13098,28882.44,28,0.32086629057727567,0.010082023239917977
17940,28389.58,14,0.3225295572350233,0.010252904989747095
14527,27191.1,121,0.3241226082776058,0.010423786739576214
12681,26936.760000000002,44,0.32570075824586,0.010594668489405332
16333,26626.8,22,0.32726074851843584,0.01076555023923445
15513,26437.05,35,0.3288096218654247,0.010936431989063569
17865,26310.09,46,0.33035105697856615,0.011107313738892685
18251,26278.86,9,0.3318906624127296,0.011278195488721804
13802,26259.11,19,0.3334291107492364,0.011449077238550922
17857,25769.54,23,0.3349388765389203,0.01161995898838004
