antecedent_names,consequent_names,support,confidence,lift,family_overlap,family_relation
POPPY'S PLAYHOUSE LIVINGROOM,"POPPY'S PLAYHOUSE BEDROOM, POPPY'S PLAYHOUSE KITCHEN",0.010350761755327226,0.725177304964539,51.4446248265149,0.667,same_type
"POPPY'S PLAYHOUSE BEDROOM, POPPY'S PLAYHOUSE KITCHEN",POPPY'S PLAYHOUSE LIVINGROOM,0.010350761755327226,0.7342908438061042,51.4446248265149,0.667,same_type
"POPPY'S PLAYHOUSE LIVINGROOM, POPPY'S PLAYHOUSE KITCHEN",POPPY'S PLAYHOUSE BEDROOM,0.010350761755327226,0.8628691983122363,48.499876958904274,0.667,same_type
POPPY'S PLAYHOUSE BEDROOM,"POPPY'S PLAYHOUSE LIVINGROOM, POPPY'S PLAYHOUSE KITCHEN",0.010350761755327226,0.5817923186344238,48.49987695890427,0.667,same_type
POPPY'S PLAYHOUSE KITCHEN,"POPPY'S PLAYHOUSE BEDROOM, POPPY'S PLAYHOUSE LIVINGROOM",0.010350761755327226,0.5512129380053908,47.24648163198484,0.667,same_type
"POPPY'S PLAYHOUSE BEDROOM, POPPY'S PLAYHOUSE LIVINGROOM",POPPY'S PLAYHOUSE KITCHEN,0.010350761755327226,0.8872017353579176,47.24648163198484,0.667,same_type
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE BEDROOM,0.011666751024953181,0.8173758865248227,45.94280338569252,0.667,same_type
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE LIVINGROOM,0.011666751024953181,0.6557610241820768,45.94280338569252,0.667,same_type
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM,0.01199574834235967,0.6388140161725068,44.7554911968802,0.667,same_type
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE KITCHEN,0.01199574834235967,0.8404255319148937,44.7554911968802,0.667,same_type
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.014096269676570329,0.7506738544474393,42.19363682025052,0.667,same_type
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.014096269676570329,0.7923186344238975,42.19363682025052,0.667,same_type
SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL,0.0115655210811358,0.6303448275862069,41.5124091954023,0.5,same_type
SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,0.0115655210811358,0.7616666666666667,41.5124091954023,0.5,same_type
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN,0.011059371362048894,0.5690104166666666,40.65800651748041,1.0,pattern_variant
WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.011059371362048894,0.790235081374322,40.65800651748041,1.0,pattern_variant
SET/10 PINK POLKADOT PARTY CANDLES,SET/10 BLUE SPOTTY PARTY CANDLES,0.012350053145720505,0.6047087980173482,37.988018195321935,1.0,pattern_variant
SET/10 BLUE SPOTTY PARTY CANDLES,SET/10 PINK POLKADOT PARTY CANDLES,0.012350053145720505,0.7758346581875993,37.98801819532193,1.0,pattern_variant
"KEY FOB , BACK DOOR","KEY FOB , GARAGE DESIGN",0.010173609353646808,0.5843023255813953,37.11916735212742,0.667,same_type
"KEY FOB , GARAGE DESIGN","KEY FOB , BACK DOOR",0.010173609353646808,0.6463022508038585,37.11916735212742,0.667,same_type
FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL,0.010148301867692463,0.5854014598540146,35.7520143503424,0.75,same_type
FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL,0.010148301867692463,0.6197836166924265,35.75201435034239,0.75,same_type
BLUE POLKADOT CUP,PINK POLKADOT CUP,0.0131852001822139,0.6775032509752926,35.646955338265926,1.0,pattern_variant
PINK POLKADOT CUP,BLUE POLKADOT CUP,0.0131852001822139,0.6937416777629827,35.646955338265926,1.0,pattern_variant
"KEY FOB , GARAGE DESIGN","KEY FOB , SHED",0.011818595940679253,0.7508038585209003,35.52965708454473,0.667,same_type
"KEY FOB , SHED","KEY FOB , GARAGE DESIGN",0.011818595940679253,0.5592814371257484,35.52965708454473,0.667,same_type
SET/6 RED SPOTTY PAPER PLATES,"SET/20 RED RETROSPOT PAPER NAPKINS, SET/6 RED SPOTTY PAPER CUPS",0.012274130687857468,0.49288617886178865,34.96571718410183,0.5,same_type
"SET/20 RED RETROSPOT PAPER NAPKINS, SET/6 RED SPOTTY PAPER CUPS",SET/6 RED SPOTTY PAPER PLATES,0.012274130687857468,0.8707360861759426,34.96571718410183,0.5,same_type
BLUE POLKADOT BOWL,PINK POLKADOT BOWL,0.011641443538998836,0.6637806637806638,34.51135414293309,1.0,pattern_variant
PINK POLKADOT BOWL,BLUE POLKADOT BOWL,0.011641443538998836,0.6052631578947368,34.51135414293309,1.0,pattern_variant
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.013969732246798603,0.7187499999999999,34.13544170673077,1.0,pattern_variant
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.013969732246798603,0.6634615384615384,34.13544170673077,1.0,pattern_variant
SET/6 RED SPOTTY PAPER CUPS,"SET/20 RED RETROSPOT PAPER NAPKINS, SET/6 RED SPOTTY PAPER PLATES",0.012274130687857468,0.575326215895611,33.18750378817397,0.5,same_type
"SET/20 RED RETROSPOT PAPER NAPKINS, SET/6 RED SPOTTY PAPER PLATES",SET/6 RED SPOTTY PAPER CUPS,0.012274130687857468,0.7080291970802919,33.18750378817397,0.5,same_type
"KEY FOB , SHED","KEY FOB , BACK DOOR",0.012172900744040087,0.5760479041916168,33.08423966021446,0.667,same_type
"KEY FOB , BACK DOOR","KEY FOB , SHED",0.012172900744040087,0.6991279069767442,33.08423966021445,0.667,same_type
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.013817887331072531,0.5980284775465499,31.17479849838308,0.6,same_type
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.013817887331072531,0.7203166226912929,31.174798498383076,0.6,same_type
SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,0.016475173356278787,0.7722419928825623,31.01053872638371,0.5,same_type
SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,0.016475173356278787,0.6615853658536586,31.010538726383707,0.5,same_type
"RED 3 PIECE MINI DOTS CUTLERY SET, PINK 3 PIECE MINI DOTS CUTLERY SET",BLUE 3 PIECE MINI DOTS CUTLERY SET,0.010097686895783773,0.7430167597765364,30.872307303690913,1.0,pattern_variant
BLUE 3 PIECE MINI DOTS CUTLERY SET,"RED 3 PIECE MINI DOTS CUTLERY SET, PINK 3 PIECE MINI DOTS CUTLERY SET",0.010097686895783773,0.4195583596214511,30.87230730369091,1.0,pattern_variant
FELTCRAFT CUSHION BUTTERFLY,FELTCRAFT CUSHION RABBIT,0.01242597560358354,0.6262755102040817,30.664994436436285,0.667,same_type
FELTCRAFT CUSHION RABBIT,FELTCRAFT CUSHION BUTTERFLY,0.01242597560358354,0.6084262701363072,30.66499443643628,0.667,same_type
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.010907526446322821,0.7779783393501805,29.73020899524471,0.667,same_type
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER","REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER",0.010907526446322821,0.41682785299806574,29.73020899524471,0.667,same_type
RED STRIPE CERAMIC DRAWER KNOB,RED SPOT CERAMIC DRAWER KNOB,0.011413676165409729,0.5466666666666666,29.712498853736818,1.0,pattern_variant
RED SPOT CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,0.011413676165409729,0.6203576341127923,29.712498853736818,1.0,pattern_variant
RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB,0.012577820519309613,0.6024242424242424,29.570424242424245,1.0,pattern_variant
BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,0.012577820519309613,0.6173913043478262,29.570424242424245,1.0,pattern_variant
PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING,0.011337753707546692,0.5137614678899082,29.464108334110062,1.0,pattern_variant
BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,0.011337753707546692,0.6502177068214804,29.464108334110062,1.0,pattern_variant
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER","REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER",0.010907526446322821,0.5307881773399015,29.089547904866663,0.667,same_type
"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER","PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.010907526446322821,0.5977808599167821,29.08954790486666,0.667,same_type
